Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1637191660.1823354,37.869396667,-122.260285,6.0,19.6
1637191682.2751248,0,0,6.0,22.2
1637191704.2523038,37.86939,-122.260308333,6.5,18.0
1637191725.712165,37.869373333,-122.260301667,6.0,25.6
1637191747.7479796,37.869373333,-122.260295,6.0,20.2
1637191770.2560735,37.8694,-122.260298333,6.0,17.4
1637191791.3113022,37.869408333,-122.260295,6.0,19.0
1637191813.2413979,37.869416667,-122.26029,5.0,20.8
1637191836.2002974,37.869416667,-122.260291667,5.0,19.4
1637191858.4803698,37.86941,-122.260293333,5.0,19.8
1637191880.2549024,37.869411667,-122.260296667,5.0,20.4
1637191902.193572,0,0,5.0,24.0
1637191918.3339014,37.869413333,-122.260295,4.0,22.8
1637191933.9792588,37.869411667,-122.260293333,4.0,23.8
1637191946.3108218,37.869411667,-122.26029,4.0,24.0
1637191959.5533059,37.869411667,-122.260288333,4.0,26.6
1637191973.9642859,37.869491667,-122.260016667,5.0,23.6
1637191988.3336508,37.869671667,-122.259816667,5.0,29.0
1637192001.274436,37.869696667,-122.259686667,5.0,23.4
1637192013.6451557,37.869823333,-122.25959,5.0,29.8
1637192030.0852265,37.86976,-122.259646667,4.0,28.4
1637192042.5182836,37.869761667,-122.259678333,4.0,26.8
